Error Code,Error Description
5,Radio Service Code is required.
6,Duplicate emission is not allowed.
7,Online Filing is currently unavailable due to regular system maintenance. Online Filing will be available again at 2:00 AM Eastern Time.
10,Answer to Developmental/STA question is required.
13,Answer to Waiver question is required.
15,Licensee Type is required.
20,Applicant Individual Name is required when Licensee Type is Individual.
25,Applicant Entity Name is required when Licensee Type is not Individual.
27,Enter either an Individual Name or an Entity Name.
30,Real Party in Interest of Applicant TIN or FRN is required.
32,Real Party in Interest of Applicant TIN must be 9 numerics.
33,Real Party in Interest of Applicant TIN/FRN is not registered with the FCC.
35,The Licensee P.O. Box and/or the Street Address is required.
36,The Assignee/Transferee P.O. Box and/or the Street Address is required.
37,The Assignor/Transferor P.O. Box and/or the Street Address is required.
40,Licensee City is required.
45,Licensee State is required.
50,Invalid Licensee State.
55,Licensee Zip is required.
60,There is an invalid Licensee State and Zip Code combination.
61,There is an invalid Assignor/Transferor State and Zip Code combination.
62,There is an invalid Assignee/Transferee State and Zip Code combination.
65,The Licensee Telephone Number is required and must be 10 digits.
66,The Assignor/Transferor Telephone Number is required and must be 10 digits.
67,The Assignee/Transferee Telephone Number is required and must be 10 digits.
70,The Licensee FAX Number must be 10 digits.
71,The Assignor/Transferor Fax Number must be 10 digits.
72,The Assignee/Transferee FAX Number must be 10 digits.
75,The provided Licensee Email Address is invalid.
80,Contact Name is required.
82,The Licensee Contact P.O. Box and/or the Street Address is required.
83,The Licensee Contact City is required.
84,The Licensee Contact State is required.
85,Invalid Contact State.
90,Invalid Contact Zip.
92,Contact Zip is required.
95,There is an invalid Licensee Contact State and Zip Code combination.
100,The Licensee Contact Telephone Number is required and must be 10 digits.
105,Invalid Contact Phone Number.
110,The Licensee Contact FAX Number must be 10 digits.
111,The Assignor/Transferor Contact FAX Number must be 10 digits.
112,The Assignee/Transferee Contact FAX Number must be 10 digits.
115,Invalid Contact E-Mail.
120,Regulatory Status is required.
125,Type of Radio Service is required.
130,An answer to the Interconnected Service question is required.
135,An answer to Fee Status Question 1 is required.
140,An answer to Fee Status Question 2 is required.
145,An answer to the Environmental Policy question is required.
150,An answer to Alien Ownership question 1 is required.
155,An answer to Alien Ownership question 2 is required.
160,An answer to Alien Ownership question 3 is required.
165,An answer to Alien Ownership question 4 is required.
170,An answer to Alien Ownership question 5 is required.
175,An answer to Basic Qualification question 1 is required.
180,An answer to Basic Qualification question 2 is required.
185,An answer to Basic Qualification question 3 is required.
190,An answer to Basic Qualification question 4 is required.
195,Name of Party Authorized to Sign is required.
196,First Name of Party Authorized to Sign is required.
197,Last Name of Party Authorized to Sign is required.
200,Title of Party Authorized to Sign is required.
205,You must select at least one Market.
206,"If Coordinate Data is supplied, then an answer to the Environmental Policy question is required."
207,Coordinate Data is required when answer to Environmental Policy question is 'Y'.
210,Invalid Latitude Degrees.
213,"Coordinates, City and State are required."
215,Invalid Latitude Minutes.
220,Invalid Latitude Seconds.
225,Invalid Longitude Degrees.
230,Invalid Longitude Minutes.
235,Invalid Longitude Seconds.
240,Invalid Environmental Data County.
245,Invalid Environmental Data State.
1000,DB Error While Setting Appl_Status_Code.
1001,DB Error While Assigning an Action Item.
1002,DB Error While Testing for Alert List Clearance.
1003,DB Error While Testing for Alien Ownership Clearance.
1004,DB Error While Testing for Basic Qualification Clearance.
1005,DB Error While Testing for Fee Sufficiency Clearance.
1006,DB Error Setting License Status Code.
1007,DB Error While Assigning an LOG.
1008,DB Error While Assigning a Manager to the Application.
1009,DB Error While Testing for NEPA Clearance.
1010,DB Error While Testing for Review List Clearance.
1011,DB Error While Testing for Waiver Review Clearance.
1012,DB Error Setting New Expiration Date.
1500,Pro Forma response is required.
1501,How the transfer will be accomplished is required.
1502,Indicate if transfer of control is voluntary or involuntary.
1503,Certifier First Name is Required.
1504,Certifier Last Name is Required.
1505,Certifier Title is Required.
1510,Signature Date cannot be greater than today's date.
1610,"This application cannot be submitted because this application contains a Lease ID where the associated leasing call sign or a component of the associated leasing call sign is in ""term pending"" status"
2010,An Answer for Pro Forma is Required.
2015,An Answer for Full Assigment is Required.
2020,The Assigment of Authorization of License is Required.
2025,How Will Assigment be Accomplished is Required.
2030,A description for Other Type of Transaction is required.
2035,You must select at least one Call Sign.
2040,The Tin/FRN used to login does not match the Tin/FRN on the application for the assignee/transferee.
2041,Application for Assignment or Transfer of Control has not been consented to by the FCC.
2042,Application for Assignment or Transfer of Control has already been consummated.
2043,Application for Assignment or Transfer of Control has already been granted.
2044,File Number provided is not for an application requesting Transfer of Control or Assignment of Authorization.
2045,Invalid Call Sign for the given Tin/FRN.
2046,The entered file number is not a valid file number in ULS.
2047,This application is not ready for Consummation yet.
2048,Consummation Date cannot be greater than the Consummation Deadline.
2050,Consummation File Number and/or Consummation Date are required.
2051,File Number of Assignment or Transfer of Control is required.
2052,Consummation Date is required.
2055,Coverage Date and Call Sign(s) are required.
2060,All call signs must be in the same radio service.
2065,Buildout/Coverage Date is required.
2070,Satisfaction of Construction Date is required.
2075,This type of Buildout/Coverage Date is invalid for the given Radio Service.
2077,Only Call Sign and Location Number are valid for the given Radio Service.
2080,This License already has this construction/coverage date.
2085,Call Sign is required.
2090,Transmitter Number and  Path Number only apply to Microwave.
2095,Path Number must be supplied with Transmitter Number.
2100,Location Number cannot be used in combination with Path Number.
2105,"To enter a frequency range, you must enter the lower and upper frequencies. To enter a specific / assigned frequency, enter it in center/lower frequency field."
2110,Buildout requirements are not applicable to this license.
2115,Invalid Location number for the given Tin/FRN.
2120,Invalid Transmitter number for the given Tin/FRN.
2125,Invalid Path number for the given Tin/FRN.
2130,This frequency does not exist on this license.
2131,This frequency does not exist on this Location.
2132,This frequency does not exist on this Path.
2135,"Since you have entered a frequency, you must also enter its path number for microwave services or its location number for all other services."
2140,"The call sign[s] provided are invalid for the purpose selected.  If the call sign[s] is wrong, you can correct/amend it on this application.  If the purpose is wrong, you may not correct/amend the purpose on this application - you must start a new filing"
2145,Invalid Call Sign for a market-based application.
3000,License Type Code is required.
3005,Facility Type Code is required
3010,Frequency Channel Block is required.
3015,Height of center of radiation AAT is required and must be between 0.0 and +610.0 (meters).
3020,Antenna gain is required and must be between 0 and 80 (dB).
3025,Azimuth of Antenna is Required:  Azimuth is required and must be between 0 and 360 or 999.
3030,Beam Tilt is required and must be between -92 and +90.
3035,Transmitter Power EIRP is required and must be between -20 and +33.
3995,Invalid county/borough/parish for state.
4000,Type of Radio Service is required.
4001,"You cannot include Call Signs for full assignment and partial assignment (i.e., some locations/paths and frequencies, but not all) on the same application.  You must file separate applications for a full assignment and a partial assignment."
4003,The Licensee Entity Name is required.
4004,Licensee Attention To is required.
4005,Application Purpose is required.
4010,Application Purpose is required.
4015,Answer to Developmental/STA question is required.
4017,An answer to the 'Is this request 'major' as defined in Section 1.929.....?' question is required.
4019,An answer to the 'Are the frequencies or parameters requested in this filing covered by....?' question is required.
4020,An answer to Waiver question is required.
4021,An answer to the Attachments question is required.
4025,Invalid Licensee Tin/FRN.
4030,The entered Assignee/Transferee FRN is invalid.
4031,Invalid Assignee/Transferee FRN.
4035,Answer to Applicant Type question is required.
4040,Answer to Assignee/Transferee Type question is required.
4041,An answer to the Licensee Type question is required.
4042,"If Licensee Entity Type is Other, a description is required."
4045,Name of Real Party in Interest is required.
4050,TIN of Real Party in Interest is required and must be in format 999999999 or A99999999.
4055,The Licensee City is required.
4056,The Assignee/Transferee City is required.
4057,The Assignor/Transferor City is required.
4060,Assignee/Transferee City is required.
4061,Assignor/Transferor City is required.
4065,The Licensee State is required.
4066,The Assignee/Transferee State is required.
4067,The Assignor/Transferor State is required.
4070,Assignee/Transferee State Code is required.
4071,Assignor/Transferor State Code is required.
4075,The Licensee Zip Code is required and must be 5 or 9 digits.
4076,The Assignee/Transferee Zip Code is required and must be 5 or 9 digits.
4077,The Assignor/Transferor Zip Code is required and must be 5 or 9 digits.
4080,Assignee/Transferee Zip Code is required.
4081,Assignor/Transferor State Code is required.
4085,"Answer to ""Does Applicant Wish Correspondence To Be Sent Via Email' question is required."
4087,Licensee E-Mail Address is required when answering 'Yes' to the 'Does Applicant Wish Correspondence To Be Sent Via Email' question.
4090,First name of applicant contact is required.
4095,Assignee/transferee contact first name is required.
4096,Assignor/transferor contact first name is required.
4100,Last name of applicant contact is required.
4105,Assignee/transferee contact last name is required.
4106,Assignor/transferor contact last name is required.
4110,Company name for applicant contact is required.
4115,Assignee/transferee contact company name is required.
4116,The Assignor/Transferor Contact Individual Name (first and last name) and/or the Company Name is required.
4120,City for applicant contact is required.
4125,The Assignee/Transferee Contact City is required.
4126,The Assignor/Transferor Contact City is required.
4130,State for applicant contact is required.
4135,The Assignee/Transferee Contact State is required.
4136,The Assignor/Transferor Contact State is required.
4140,The Licensee Contact Zip Code is required and must be 5 or 9 digits.
4145,The Assignee/Transferee Contact Zip Code is required and must be 5 or 9 digits.
4146,Licensee contact phone must be 10 digits.
4147,The Assignee/Transferee Contact Telephone Number is required and must be 10 digits.
4148,The Assignor/Transferor Contact Zip Code is required and must be 5 or 9 digits.
4149,The Assignor/Transferor Contact Telephone Number is required and must be 10 digits.
4150,"Answer to ""Does Applicant Provide Interconnected Service' question is required."
4155,An answer to the Exempt From FCC Application Fees question is required.
4160,"Answer to ""Is Applicant Exempt From FCC Regulatory Fees"" question is required."
4165,Answer to Alien Ownership question 1 is required.
4170,An answer to the Alien Ownership - Alien or Reprensentative of an Alien question is required.
4175,Answer to Alien Ownership question 2 is required.
4180,An answer to the Alien Ownership - Foreign Government question is required.
4185,Answer to Alien Ownership question 3 is required.
4190,An answer to the Alien Ownership - Organized Under the Laws of Any Foreign Government question is required.
4195,Answer to Alien Ownership question 4 is required.
4200,An answer to the Alien Ownership - One-Fifth Capital Stock question is required.
4205,Answer to Alien Ownership question 5 is required.
4210,An answer to the Alien Ownership - Direct or Indirect Interest question is required.
4215,Answer to Basic Qualification question 1 is required.
4220,An answer to the Basic Qualification - Revoked question is required.
4225,Answer to Basic Qualification question 2 is required.
4230,An answer to the Basic Qualification - Convicted of a Felony question is required.
4235,Answer to Basic Qualification question 3 is required.
4240,An answer to the Basic Qualification - Finally Adjudged question is required.
4245,Answer to Basic Qualification question 4 is required.
4250,Answer to Basic Qualification question 4 is required.
4255,Certifier first name is required.
4260,The First Name of the Assignee/Transferee Certifier is required.
4265,Certifier last name is required.
4270,The Last Name of the Assignee/Transferee Certifier is required.
4275,Certifier title is required.
4280,Assignee/transferee certifier title is required.
4285,Receipt Date is required.
4290,Assignee/transferee certifier date is required.
4295,An answer to the Pro Forma question is required.
4300,An answer to the Partitioning/Disaggregation question is required.
4301,An answer to the Full or Partial Assignment question is required.
4302,The Lead Application File Number is required.
4303,The provided file number must be a valid 603 or 608 file number.
4304,An answer to the Already Occurred question is required.
4305,Invalid  Licensee Tin/FRN.
